"국적","성별","유학(D-2)","전문학사(D-2-1)","학사유학(D-2-2)","석사유학(D-2-3)","박사유학(D-2-4)","연구유학(D-2-5)","교환학생(D-2-6)","교환학생(D-2-F)","일반연수(D-4)","대학부설어학원연수(D","외국어연수(D-4-7)","기타"
"중      국","(M)","15812","802","9861","3333","810","8","997","1","7609","7607","2","115948"
"중      국","(F)","22345","641","11544","5503","990","11","3655","1","8579","8578","1","137505"
"한국계 중국인","(M)","296","68","185","28","14","0","1","0","33","33","0","310035"
"한국계 중국인","(F)","308","50","210","34","13","0","1","0","26","26","0","280158"
"베  트  남","(M)","1595","139","363","641","413","2","37","0","988","988","0","62035"
"베  트  남","(F)","1373","82","452","535","179","2","123","0","1221","1221","0","62761"
"타      이","(M)","87","0","26","29","29","0","3","0","22","22","0","53881"
"타      이","(F)","234","3","53","95","40","2","41","0","79","79","0","40011"
"필  리  핀","(M)","189","3","26","106","35","0","19","0","38","38","0","27094"
"필  리  핀","(F)","287","2","40","156","40","0","49","0","76","76","0","25854"
"일      본","(M)","299","7","135","60","25","5","67","0","101","101","0","16572"
"일      본","(F)","1128","24","398","124","32","4","546","0","619","618","1","30433"
"인도네시아","(M)","441","1","117","197","87","4","35","0","57","57","0","39540"
"인도네시아","(F)","475","7","194","168","43","0","63","0","109","109","0","6323"
"우즈베키스탄","(M)","474","18","209","185","37","4","21","0","345","345","0","30547"
"우즈베키스탄","(F)","158","4","90","40","10","1","13","0","87","87","0","12241"
"캄 보 디 아","(M)","182","1","50","96","20","0","15","0","32","32","0","26465"
"캄 보 디 아","(F)","114","3","41","47","6","0","17","0","23","23","0","11579"
"타 이 완","(M)","84","0","14","16","12","0","42","0","42","42","0","13664"
"타 이 완","(F)","460","1","49","75","6","0","329","0","304","304","0","16646"
"네      팔","(M)","393","12","51","186","144","0","0","0","80","80","0","23272"
"네      팔","(F)","106","1","27","58","20","0","0","0","37","37","0","2902"
"스 리 랑 카","(M)","83","4","23","38","16","1","1","0","117","117","0","25040"
"스 리 랑 카","(F)","44","1","9","22","11","0","1","0","90","90","0","683"
"몽      골","(M)","859","63","400","295","71","0","30","0","490","490","0","11516"
"몽      골","(F)","1659","79","526","849","149","0","56","0","727","727","0","9310"
"미  얀  마","(M)","98","0","15","60","23","0","0","0","45","45","0","15176"
"미  얀  마","(F)","153","2","37","87","27","0","0","0","42","42","0","407"
"방글라데시","(M)","483","11","50","203","219","0","0","0","36","36","0","13445"
"방글라데시","(F)","92","1","6","43","41","0","1","0","9","9","0","579"
"파 키 스 탄","(M)","867","2","33","364","458","5","5","0","76","76","0","9111"
"파 키 스 탄","(F)","96","3","5","42","45","1","0","0","13","13","0","1046"
"홍      콩","(M)","39","0","14","3","1","0","21","0","35","35","0","4086"
"홍      콩","(F)","196","0","73","20","1","0","102","0","224","224","0","6182"
"인      도","(M)","698","13","16","133","513","5","18","0","72","72","0","6426"
"인      도","(F)","227","5","9","68","132","5","8","0","14","14","0","2759"
"말레이시아","(M)","297","38","152","51","19","2","35","0","70","70","0","3023"
"말레이시아","(F)","360","14","168","53","37","0","88","0","133","133","0","3282"
"싱 가 포 르","(M)","91","0","7","4","0","0","80","0","6","6","0","2264"
"싱 가 포 르","(F)","178","0","26","19","1","0","132","0","38","38","0","2879"
"카자흐스탄","(M)","165","2","122","22","4","0","15","0","43","41","2","1739"
"카자흐스탄","(F)","243","1","117","53","9","0","63","0","115","114","1","1560"
"키르기스스탄","(M)","56","0","40","13","2","0","1","0","35","35","0","2000"
"키르기스스탄","(F)","78","2","38","31","2","0","5","0","51","51","0","1252"
"이      란","(M)","153","0","15","31","98","7","2","0","13","12","1","982"
"이      란","(F)","76","0","12","28","31","4","1","0","15","15","0","195"
"티모르 민주공화국","(M)","9","0","4","4","1","0","0","0","6","6","0","1242"
"티모르 민주공화국","(F)","5","0","3","2","0","0","0","0","3","3","0","75"
"아랍에미리트연합","(M)","27","0","27","0","0","0","0","0","16","16","0","704"
"아랍에미리트연합","(F)","4","1","1","2","0","0","0","0","1","1","0","509"
"사우디아라비아","(M)","251","0","211","30","8","0","2","0","200","198","2","313"
"사우디아라비아","(F)","36","0","20","13","2","0","1","0","61","57","4","192"
"터      키","(M)","69","0","24","18","10","1","16","0","25","25","0","545"
"터      키","(F)","107","0","25","26","11","0","45","0","32","32","0","197"
"라  오  스","(M)","46","0","7","27","11","0","1","0","9","9","0","254"
"라  오  스","(F)","30","0","9","16","2","0","3","0","9","9","0","550"
"시  리  아","(M)","5","0","0","2","3","0","0","0","1","1","0","656"
"시  리  아","(F)","1","0","0","1","0","0","0","0","0","0","0","95"
"마  카  오","(M)","0","0","0","0","0","0","0","0","2","2","0","214"
"마  카  오","(F)","13","0","6","2","0","0","5","0","22","22","0","417"
"타지키스탄","(M)","30","2","15","10","0","0","3","0","15","15","0","359"
"타지키스탄","(F)","13","0","6","4","0","0","3","0","3","3","0","71"
"요  르  단","(M)","31","0","4","13","12","0","2","0","10","10","0","323"
"요  르  단","(F)","7","0","0","5","1","0","1","0","5","5","0","87"
"이  라  크","(M)","18","1","2","6","8","1","0","0","5","5","0","267"
"이  라  크","(F)","6","0","2","4","0","0","0","0","1","1","0","93"
"아프가니스탄","(M)","35","0","9","26","0","0","0","0","3","3","0","229"
"아프가니스탄","(F)","1","0","1","0","0","0","0","0","1","1","0","39"
"예멘공화국","(M)","24","0","6","12","6","0","0","0","9","9","0","207"
"예멘공화국","(F)","4","0","2","2","0","0","0","0","5","5","0","38"
"이 스 라 엘","(M)","5","0","0","3","0","0","2","0","1","1","0","131"
"이 스 라 엘","(F)","10","0","2","4","0","0","4","0","7","7","0","89"
"브 루 나 이","(M)","10","0","2","0","0","0","8","0","0","0","0","71"
"브 루 나 이","(F)","57","0","2","4","2","0","49","0","3","3","0","68"
"쿠 웨 이 트","(M)","2","0","0","0","2","0","0","0","1","1","0","39"
"쿠 웨 이 트","(F)","0","0","0","0","0","0","0","0","1","1","0","31"
"오      만","(M)","0","0","0","0","0","0","0","0","1","1","0","37"
"오      만","(F)","0","0","0","0","0","0","0","0","3","3","0","20"
"투르크메니스탄","(M)","14","0","12","1","1","0","0","0","4","4","0","14"
"투르크메니스탄","(F)","4","1","3","0","0","0","0","0","2","2","0","15"
"레  바  논","(M)","4","0","1","2","0","0","1","0","0","0","0","25"
"레  바  논","(F)","2","0","1","1","0","0","0","0","0","0","0","15"
"팔레스타인","(M)","7","0","0","6","0","0","1","0","2","2","0","26"
"팔레스타인","(F)","1","0","0","0","0","0","1","0","0","0","0","7"
"키 프 로 스","(M)","0","0","0","0","0","0","0","0","0","0","0","20"
"키 프 로 스","(F)","1","0","1","0","0","0","0","0","0","0","0","6"
"홍콩거주난민","(M)","0","0","0","0","0","0","0","0","0","0","0","11"
"홍콩거주난민","(F)","0","0","0","0","0","0","0","0","0","0","0","10"
"카  타  르","(M)","0","0","0","0","0","0","0","0","0","0","0","10"
"카  타  르","(F)","0","0","0","0","0","0","0","0","0","0","0","7"
"바  레  인","(M)","2","0","1","0","1","0","0","0","0","0","0","1"
"바  레  인","(F)","0","0","0","0","0","0","0","0","0","0","0","5"
"부      탄","(M)","2","0","1","1","0","0","0","0","0","0","0","2"
"부      탄","(F)","2","0","0","2","0","0","0","0","2","2","0","0"
"몰  디  브","(M)","1","0","0","1","0","0","0","0","0","0","0","2"
"몰  디  브","(F)","1","0","0","1","0","0","0","0","0","0","0","0"
"미      국","(M)","470","7","84","167","28","2","175","7","83","83","0","80511"
"미      국","(F)","458","1","60","72","2","0","315","8","70","70","0","55071"
"캐  나  다","(M)","62","0","8","23","2","0","29","0","15","15","0","12190"
"캐  나  다","(F)","43","0","5","7","0","0","31","0","11","11","0","12032"
"브  라  질","(M)","105","0","17","10","1","0","77","0","21","21","0","731"
"브  라  질","(F)","71","0","8","7","0","0","56","0","25","25","0","530"
"멕  시  코","(M)","54","0","4","16","3","0","31","0","10","10","0","342"
"멕  시  코","(F)","62","0","13","15","0","0","34","0","14","14","0","277"
"페      루","(M)","19","0","8","5","1","0","5","0","2","2","0","265"
"페      루","(F)","28","0","12","9","0","0","7","0","17","17","0","231"
"아르헨티나","(M)","6","0","3","2","1","0","0","0","2","2","0","243"
"아르헨티나","(F)","3","0","2","0","1","0","0","0","5","5","0","194"
"콜 롬 비 아","(M)","31","0","14","7","1","1","8","0","11","11","0","119"
"콜 롬 비 아","(F)","21","0","5","11","0","0","5","0","13","13","0","128"
"에 콰 도 르","(M)","18","0","5","11","0","0","2","0","6","6","0","84"
"에 콰 도 르","(F)","24","0","9","13","0","0","2","0","11","11","0","53"
"파 라 과 이","(M)","8","0","8","0","0","0","0","0","3","3","0","69"
"파 라 과 이","(F)","10","0","7","3","0","0","0","0","5","5","0","87"
"칠      레","(M)","9","0","2","3","0","1","3","0","0","0","0","75"
"칠      레","(F)","11","0","1","4","1","1","4","0","11","11","0","70"
"과 테 말 라","(M)","34","0","9","18","7","0","0","0","0","0","0","49"
"과 테 말 라","(F)","20","0","4","14","2","0","0","0","5","5","0","52"
"베네수엘라","(M)","4","0","3","0","0","0","1","0","3","3","0","64"
"베네수엘라","(F)","4","0","3","1","0","0","0","0","5","5","0","49"
"볼 리 비 아","(M)","6","2","3","1","0","0","0","0","1","1","0","37"
"볼 리 비 아","(F)","8","0","7","0","0","0","1","0","6","6","0","33"
"니 카 라 과","(M)","1","0","0","1","0","0","0","0","0","0","0","41"
"니 카 라 과","(F)","1","0","0","1","0","0","0","0","2","2","0","28"
"도미니카공화국","(M)","5","0","1","4","0","0","0","0","1","1","0","21"
"도미니카공화국","(F)","9","0","5","3","0","0","1","0","6","6","0","26"
"코스타리카","(M)","4","0","0","4","0","0","0","0","3","3","0","26"
"코스타리카","(F)","4","0","3","1","0","0","0","0","2","2","0","19"
"온 두 라 스","(M)","4","0","0","4","0","0","0","0","2","2","0","21"
"온 두 라 스","(F)","4","0","0","4","0","0","0","0","1","1","0","24"
"엘살바도르","(M)","8","0","3","4","1","0","0","0","1","1","0","11"
"엘살바도르","(F)","12","0","4","8","0","0","0","0","4","4","0","12"
"파  나  마","(M)","7","0","3","3","1","0","0","0","2","2","0","10"
"파  나  마","(F)","6","0","3","3","0","0","0","0","6","6","0","12"
"자 메 이 카","(M)","3","0","0","3","0","0","0","0","1","1","0","18"
"자 메 이 카","(F)","6","0","1","4","1","0","0","0","1","1","0","12"
"우 루 과 이","(M)","2","0","0","1","0","1","0","0","1","1","0","13"
"우 루 과 이","(F)","2","0","0","2","0","0","0","0","1","1","0","14"
"트리니다드토바고","(M)","0","0","0","0","0","0","0","0","2","2","0","8"
"트리니다드토바고","(F)","1","0","0","0","1","0","0","0","1","1","0","10"
"쿠      바","(M)","0","0","0","0","0","0","0","0","0","0","0","10"
"쿠      바","(F)","1","0","1","0","0","0","0","0","0","0","0","10"
"벨  리  즈","(M)","3","0","0","0","3","0","0","0","0","0","0","3"
"벨  리  즈","(F)","3","0","1","2","0","0","0","0","2","2","0","3"
"수  리  남","(M)","1","0","0","1","0","0","0","0","0","0","0","4"
"수  리  남","(F)","0","0","0","0","0","0","0","0","0","0","0","6"
"아  이  티","(M)","2","0","1","1","0","0","0","0","0","0","0","3"
"아  이  티","(F)","0","0","0","0","0","0","0","0","0","0","0","5"
"바베이도스","(M)","0","0","0","0","0","0","0","0","0","0","0","3"
"바베이도스","(F)","0","0","0","0","0","0","0","0","1","1","0","2"
"세인트크리스토퍼 네비스","(M)","0","0","0","0","0","0","0","0","0","0","0","3"
"세인트크리스토퍼 네비스","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"바  하  마","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"바  하  마","(F)","0","0","0","0","0","0","0","0","1","1","0","1"
"세인트루시아","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"세인트루시아","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"도미니카연방","(M)","0","0","0","0","0","0","0","0","0","0","0","2"
"도미니카연방","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"가 이 아 나","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"가 이 아 나","(F)","0","0","0","0","0","0","0","0","1","1","0","0"
"불령 가이아나","(M)","0","0","0","0","0","0","0","0","0","0","0","0"
"불령 가이아나","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"러시아(연방)","(M)","104","4","34","28","5","1","32","0","46","46","0","3476"
"러시아(연방)","(F)","314","19","99","81","9","0","106","0","261","261","0","4772"
"한국계 러시아인","(M)","1","0","1","0","0","0","0","0","0","0","0","2353"
"한국계 러시아인","(F)","4","0","3","1","0","0","0","0","0","0","0","3094"
"영      국","(M)","65","0","8","19","2","0","36","0","14","14","0","5148"
"영      국","(F)","65","0","13","7","1","0","44","0","11","11","0","2095"
"프  랑  스","(M)","324","0","14","25","11","1","273","0","32","32","0","2696"
"프  랑  스","(F)","285","0","13","21","3","1","247","0","62","62","0","1508"
"독      일","(M)","277","0","6","28","12","3","226","2","11","11","0","2006"
"독      일","(F)","243","0","10","13","2","1","217","0","26","26","0","1478"
"노 르 웨 이","(M)","18","0","1","7","0","0","10","0","8","8","0","1530"
"노 르 웨 이","(F)","12","0","4","2","0","0","6","0","7","7","0","364"
"우크라이나","(M)","29","0","11","9","2","0","7","0","9","9","0","592"
"우크라이나","(F)","46","1","12","13","1","0","19","0","20","19","1","591"
"이 탈 리 아","(M)","30","0","4","5","3","0","15","3","10","10","0","766"
"이 탈 리 아","(F)","39","0","6","5","0","1","25","2","26","26","0","273"
"네 덜 란 드","(M)","77","0","2","4","2","0","69","0","10","10","0","549"
"네 덜 란 드","(F)","40","0","2","2","0","0","36","0","3","3","0","250"
"스  웨  덴","(M)","78","0","3","5","0","1","69","0","16","16","0","455"
"스  웨  덴","(F)","23","0","1","0","0","0","22","0","38","38","0","271"
"스  페  인","(M)","65","0","6","4","1","0","54","0","20","20","0","439"
"스  페  인","(F)","53","0","3","6","2","0","42","0","14","14","0","279"
"아 일 랜 드","(M)","10","0","1","5","0","0","4","0","2","2","0","583"
"아 일 랜 드","(F)","2","0","0","1","0","0","1","0","0","0","0","232"
"폴  란  드","(M)","31","0","5","5","10","0","11","0","5","5","0","323"
"폴  란  드","(F)","50","2","7","11","2","0","28","0","15","15","0","169"
"스  위  스","(M)","27","0","3","8","0","1","15","0","1","1","0","271"
"스  위  스","(F)","23","0","2","6","1","0","14","0","6","6","0","181"
"덴  마  크","(M)","30","0","1","5","0","0","24","0","1","1","0","300"
"덴  마  크","(F)","21","0","3","0","0","0","18","0","0","0","0","127"
"핀  란  드","(M)","41","0","1","5","0","0","35","0","1","1","0","187"
